,Unnamed: 0,index,題名,作者/創建者,所屬期刊,主題,識別號,叢書,學位論文,類型,摘要,內容,其他題名,相關題名,版本,出版者,建立日期,附註,得獎註,適用對象/影視分級,語文註,格式,刊期,醫學主題,政府出版品主題,合訂,課程資訊,架號,權利聲明,資源來源,永久連結,borrowable,id
60,60,10,工業工程與管理 ,"黃錦川, 著 ",,工業工程-管理,ISBN : 9571117439 (平裝),,,,,,,,初版,台北市 : 五南,民88,,,,,768面.,,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990008367010206772,1,60
61,61,11,工業工程與管理 ,"王貳瑞, 著 identifier 王來旺, 著 ",,工業管理identifier 工業工程,ISBN : 978-986-6159-00-8 (平裝) :,,,,,,,,二版,屏東縣內埔鄉 : 睿煜,2010,,,,,"830面 : 圖,表 ; 26公分",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990052012860206772,1,61
62,62,12,工業工程與管理 = Industrial Engineering & Management ,"鄭榮郎, 著 ",,工業工程 -- 管理,ISBN : 957214006x (平裝),,,,,,,,初版,台北市 : 全華,民92,,,,,1冊.,,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990009196360206772,1,62
63,63,13,工業工程與管理 = Industrial Engineering and Management ,"賴福來, 著 identifier 胡伯潛, 著 identifier 黃信豪, 著 ",,工業工程 -- 管理,ISBN : 9571443611 (平裝)identifier ISBN : 9789571443614 (平裝),,,,,,,,革新四版,台北市 : 三民,2005[民94],含附表,,,,448面 ; 25公分.,,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990010448010206772,1,63
64,64,14,工業工程與管理實務 ,"鄭榮郎, 著 ",,工業工程 -- 管理,ISBN : 957-21-4884-2 (平裝),,,,,,,,二版,臺北市 : 全華,民94,,,,,面 ; 公分.,,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990010005880206772,1,64
65,65,15,工業工程與管理 ,"希克斯 (Hicks, Philip E.), 著 identifier 劉柄宏, 譯 ",,工業工程 -- 管理identifier Industrial engineering,ISBN : 9574932095 (平裝),,,,,,,翻譯 : Industrial engineering and management a new perspective ,初版,臺北市 : 麥格羅希爾出版,2000[民89],含參考書目,,,,1冊 : 圖 ; 24公分.,,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990008658520206772,1,65
66,66,16,全國自動化科技研討會論文集 第二屆 / Proceeding of The Second National Workshop on Automation Technology,"國立交通大學工業工程系,控制工程系, 編 ",,,ISBN : (平裝(贈)),,,,,,第二屆全國自動化科技研討會論文集,,初版,臺北市 : 交大工業工程系所,民77,,,,,820面 : 圖表.,,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990008816030206772,1,66
67,67,17,2000年科技與管理學術研討會 : e時代的挑戰與因應策略研討會論文集 = The 2000 conference on technology and managementidentifier ethe competition and strategy of e-eva ,"國立臺北科技大學 工業工程系, 主辦 ",,,ISBN : (平裝(贈)),,,,,,,,初版,台北市 : 國立台北科技大學工業工程系,2001[民90],,,,,651面 : 圖.,,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990009127640206772,1,67
68,68,18,工業工程與管理概論 ,"陳潭, 著 identifier 洪堯勳, 著 identifier 姚銘忠, 著 identifier 黃欽印, 著 ",,工業工程identifier 工業管理,ISBN : 978-986-5774-07-3,,,,,,Essentials of industrial engineering & management,,初版,新北市 : 前程文化,2013,,,,,"403面 : 圖, 表 ; 26公分",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990055299020206772,1,68
69,69,19,工業工程與管理 = The industrial engineering and management ,"葉忠, 著. ",,工業工程identifier 工業管理,ISBN : 978-986-154-783-1 (平裝) :,,,,,,The industrial engineering and management.,,二版.,臺北市 : 臺灣培生教育,2009[民98],含索引.,,,,461面 : 圖 ; 26公分.,,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990050753530206772,1,69
70,70,20,工業工程與管理 = Industrial Engineering and Management ,"鄭榮郎, 編著 ",,工業工程identifier 工業管理,ISBN : 978-957-21-7555-2(平裝) :,,,,,,Industrial Engineering and Management,,四版,台北縣 : 全華圖書,2010,,,,,287面 : 圖表 ; 26公分,,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990051878670206772,1,70
71,71,21,慶祝台灣區冷凍空調工程工業同業工會成立二十週年紀念特輯 ,"台灣區冷凍空調工程工業同業工會, 著 ",,"臺灣區冷凍空調工程工業同業公會identifier 冷凍 -- 機構, 會社等identifier 空調工程 -- 機構, 會社等",ISBN : (精裝),,,,,,慶祝成立20週年紀念特輯identifier 慶祝台灣區冷凍空調工程工業同業工會成立20週年紀念特輯,,,台北市 : 台灣區冷凍空調工程工業同業工會,1998[民87],附錄：慶祝工會成立二十週年活動籌劃及執行人員名錄,,,,"240面 : 彩圖, 彩像 ; 31公分.",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990010083540206772,1,71
72,72,22,第六屆產業管理研討會論文集 : 台灣本土產業升級轉型與國際化 ,"東海大學工業工程研究所豐群基金會, 主辦 ",,,ISBN : (平裝),,,,,,,,初版,台北市 : 東海大學工業工程研究所豐群基金會,民86,,,,,316面.,,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990008645540206772,1,72
73,73,23,2001年科技與管理學術研討會論文集 : e時代的製商整合策略 ,"台北科技大學管理學院工業工程系, 主辦 ",,產業 -- 論文，講詞等,ISBN : (平裝),,,,,,,,初版,台北市 : 國立台北科技大學管理學院工業工程系,2001[民90],"指導單位: 教育部顧問室identifier 協辦單位: 中國工業工程學會,中華價值管理學會,中華民國管理科學學會,新埔技術學院,清雲技術學院,致理技術學院,景文技術學院,大漢技術學院identifier 會議時間: 民90年10月15日",,,,684面.,,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990009127300206772,1,73
74,74,24,國立陽明交通大學工業工程與管理學系巫佳煌教師升等送審著作論文集 ,"巫佳煌, 著 ",,工業工程管理identifier 教師升等,,,,,,Modified processes capability assessment with dynamic mean shift,國立陽明交通大學升等教師審查資料identifier 巫佳煌教師升等送審著作論文集,,,新竹市 : 國立陽明交通大學,2021,教師升等著作-- 工業工程與管理學系identifier 現職: 助理教授identifier 申請職別: 副教授,,,內容為英文,"1冊 : 圖, 表 ; 29公分",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma991003572358606772,1,74
75,75,25,中國工業工程學會年會論文集 ,"陳光辰, 等著 ",,,ISBN : (平裝新台幣100元),,,,,,,,,台北市 : 中國工業工程,民78,,,,,243面.,,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990007370610206772,1,75
76,76,26,中國工業工程學會年會論文集 ,"張保隆, 等著 ",,,ISBN : (平裝新台幣200元),,,,,,,,,台北市 : 中國工業工程,民77,,,,,698面.,,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990007331680206772,1,76
77,77,27,金屬製品業工業用水效率提升及回收再利用技術手冊 ,"經濟部工業局, 主編 identifier 京華環境工程股份有限公司, 主編 ",,污水處理identifier 工業廢物技術identifier 金屬工業identifier 政府出版品 -- 公共工程,ISBN : 957-01-5575-2 (平裝),,,,,,,,初版,臺北市 : 工業局出版,2003[民92],含參考文獻identifier 附錄一:網際網路業製造及技術服務業購置設備或技術投資抵減證明申請書;附錄二:新興重要策略性產業投資計畫書格式;附錄三:進口國內無製機器儀器設備證明申請書;附錄四:加速折舊證明申請書,,,,"1冊 : 圖,表 ; 30公分.",,,政府出版品 公共工程,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990009544650206772,1,77
78,78,28,食品及飲料製造業工業用水效率提升及回收再利用技術手冊 ,"經濟部 工業局, 主編 identifier 京華環境工程股份有限公司, 主編 ",,政府出版品 -- 公共工程identifier 污水處理identifier 工業廢物技術identifier 食品工業,ISBN : 986-00-1800-6 (平裝),,,,,,,,初版,臺北市 : 工業局出版,民93,,,,,"1冊 : 圖,表 ; 29公分.",,,政府出版品 公共工程,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990009881770206772,1,78
79,79,29,造紙業工業用水效率提升及回收再利用技術手冊 ,"經濟部工業局, 主編 identifier 京華環境工程股份有限公司, 主編 ",,污水處理identifier 工業廢物技術identifier 造紙工業identifier 政府出版品 -- 公共工程,ISBN : 957-01-5578-7 (平裝),,,,,,,,初版,臺北市 : 工業局出版,2003[民92],含參考文獻identifier 附錄一:網際網路業製造及技術服務業購置設備或技術投資抵減證明申請書;附錄二:新興重要策略性產業投資計畫書格式;附錄三:進口國內無製機器儀器設備證明申請書;附錄四:加速折舊證明申請書,,,,"1冊 : 圖,表 ; 30公分.",,,政府出版品 公共工程,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990009544660206772,1,79
80,80,30,人因工程 : 工程與設計之人性因素 ,"山德士 (Sanders, Mark S.) 著 identifier 麥科明克 (McCormick, Ernest J.) 著 identifier 吳水丕 譯 identifier 許勝雄 譯 identifier 彭游 譯 identifier Sanders, Mark S. identifier McCormick, Ernest J. ",,人體工學identifier 工程,ISBN : 9574930521 (上冊:平裝) :identifier ISBN : 957493053X (下冊:平裝) :,工業工程系列叢書 ; IE016C;IE016C2. ,,,,,工程與設計之人性因素,,初版,臺北市 : 麥格羅希爾出版 ; 臺中市 : 滄海總代理,2000[民89],,,,,"2冊(10,879面) : 圖,表格 ; 26公分",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma991002653359706772,1,80
81,81,31,電腦化工業工程 : 附應用軟體程式45套 ,"盧淵源, 編著 ",,工業工程 -- 自動化identifier 生產管理 -- 自動化,ISBN : (精裝),,,,,,,,初版,臺北市 : 華泰,民74,參考資料:面896-897identifier 含附錄,,,,"[22],905面 : 圖,表格 ; 24公分.",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990008565650206772,1,81
82,82,32,皮革及毛衣製造業工業用水效率提升及回收再利用技術手冊 ,"經濟部 工業局, 主編 identifier 京華環境工程股份有限公司, 主編 ",,污水處理identifier 工業廢物技術identifier 皮革工業identifier 紡織業identifier 政府出版品 -- 公共工程,ISBN : 986-00-1801-4 (平裝),,,,,,,,初版,臺北市 : 工業局出版,民93,工業用水效率提升輔導與推廣計畫,,,,1冊 : 表 ; 29公分.,,,政府出版品 公共工程,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990009881760206772,1,82
83,83,33,電子零組件製造業工業用水效率提升及回收再利用技術手冊 ,"經濟部工業局, 主編 identifier 京華環境工程股份有限公司, 主編 ",,污水處理identifier 工業廢物技術identifier 電子業identifier 政府出版品 -- 公共工程,ISBN : 957-01-5579-5 (平裝),,,,,,,,初版,臺北市 : 工業局出版,2003[民92],含參考文獻identifier 附錄一:網際網路業製造及技術服務業購置設備或技術投資抵減證明申請書;附錄二:新興重要策略性產業投資計畫書格式;附錄三:進口國內無製機器儀器設備證明申請書;附錄四:加速折舊證明申請書,,,,"1冊 : 圖,表 ; 30公分.",,,政府出版品 公共工程,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990009544630206772,1,83
84,84,34,紡織染整業工業用水效率提升及回收再利用技術手冊 ,"經濟部工業局, 主編 identifier 京華環境工程股份有限公司, 主編 ",,污水處理identifier 工業廢物技術identifier 紡織業identifier 政府出版品 -- 公共工程,ISBN : 957-01-5517-5 (平裝),,,,,,,,初版,臺北市 : 工業局出版,2003[民92],含參考文獻identifier 附錄一:網際網路業製造及技術服務業購置設備或技術投資抵減證明申請書;附錄二:新興重要策略性產業投資計畫書格式;附錄三:進口國內無製機器儀器設備證明申請書;附錄四:加速折舊證明申請書,,,,"1冊 : 圖,表 ; 30公分.",,,政府出版品 公共工程,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990009544670206772,1,84
85,85,35,塑膠製品業工業用水效率提升及回收再利用技術手冊 ,"經濟部工業局, 主編 identifier 京華環境工程股份有限公司, 主編 ",,污水處理identifier 工業廢物技術identifier 塑膠業identifier 政府出版品 -- 公共工程,ISBN : 957-01-5577-9 (平裝),,,,,,,,初版,臺北市 : 工業局出版,2003[民92],含參考文獻identifier 附錄一:網際網路業製造及技術服務業購置設備或技術投資抵減證明申請書;附錄二:新興重要策略性產業投資計畫書格式;附錄三:進口國內無製機器儀器設備證明申請書;附錄四:加速折舊證明申請書,,,,"1冊 : 圖,表 ; 30公分.",,,政府出版品 公共工程,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990009544620206772,1,85
86,86,36,"舞颺,從心啟程 : 國道1號五股至楊梅拓寬工程 ","台灣世曦工程顧問股份有限公司, 企劃編輯 ",,政府出版品 -- 交通建設identifier 公路工程identifier 國道identifier 高速公路,ISBN : 978-986-04-3887-1,,,,國道1號五股至楊梅段拓寬工程計畫全長約40公里，緊沿高速公路兩側進行拓寬，周邊住宅及工業區密集，沿線景觀生態豐富，為了不影響既有交通、減少鄰房拆遷、避免對原有植被及生態的破壞，施工困難度極高，工程團隊除了採高效能的施工方法外，對與居民溝通協調工程用地取得、以及針對生態環境採取衝擊減輕、補償及替代之保護對策，無不付出相當人力與心力。 本書「舞颺，從心啟程」則把本工程裡的點點滴滴透過文字圖像展現，同時可以看見過去鮮少被描寫的過程或人物故事，從居民、工程師等角色；從地方、環境到生態等面向，以多元的角度切入，忠實呈現工程團隊的用心與同理心，並彰顯人和物的變遷，自然和人的相處等等珍貴的生活片段和歷史紀錄。,,國道1號五股至楊梅拓寬工程identifier 舞颺從心啟程,,初版,台北市 : 交通部臺灣區國道新建工程局,2014,,,,,"204面 : 彩圖, 彩色地圖, 書影 ; 20x22公分",,,政府出版品 交通建設,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990055389000206772,1,86
87,87,37,石油及化學製品業工業用水效率提升及回收再利用技術手冊 ,"經濟部工業局, 主編 identifier 京華環境工程股份有限公司, 主編 ",,污水處理identifier 工業廢物技術identifier 石油化學業identifier 政府出版品 -- 公共工程,ISBN : 957-01-5576-0 (平裝),,,,,,,,初版,臺北市 : 工業局出版,2003[民92],含參考文獻identifier 附錄一:網際網路業製造及技術服務業購置設備或技術投資抵減證明申請書;附錄二:新興重要策略性產業投資計畫書格式;附錄三:進口國內無製機器儀器設備證明申請書;附錄四:加速折舊證明申請書,,,,"1冊 : 圖,表 ; 30公分.",,,政府出版品 公共工程,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990009544640206772,1,87
88,88,38,電力機械器材及設備製造修配業工業用水效率提升及回收再利用技術手冊 ,"經濟部 工業局, 主編 identifier 京華環境工程股份有限公司, 主編 ",,污水處理identifier 工業廢物技術identifier 政府出版品 -- 公共工程identifier 電機業identifier 製造業,ISBN : 9860018022 (平裝),,,,,,,,初版,臺北市 : 工業局出版,民93,工業用水效率提升輔導與推廣計畫,,,,1冊 : 表 ; 29公分.,,,政府出版品 公共工程,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990009881900206772,1,88
89,89,39,國立交通大學工業工程與管理學系陳文智教師升等送審著作論文集 ,"陳文智, 著 ",,工業工程identifier 教師升等,,,,,,,國立交通大學升等教師審查資料identifier 陳文智教師升等送審著作論文集,,,新竹市 : 國立交通大學,2018,教師升等著作--工業工程與管理學系identifier 現職: 副教授identifier 申請職別: 教授identifier 內容為英文,,,,"1冊 : 圖 ,表 ; 29公分",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990056735140206772,1,89
90,90,40,國立交通大學工業工程與管理學系陳勝一教師升等送審著作論文集 ,"陳勝一, 著 ",,工業工程identifier 教師升等,,,,,,,國立交通大學升等教師審查資料identifier 陳勝一教師升等送審著作論文集,,,新竹市 : 國立交通大學,2019,教師升等著作--工業工程與管理學系identifier 現職 : 助理教授identifier 申請職別 : 副教授identifier 內容為中英文,,,,"1冊 : 圖 ,表 ; 29公分",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990057619640206772,1,90
91,91,41,國立交通大學工業工程與管理學系王志軒教師升等送審著作論文集,"王志軒, 著 ",,教師升等identifier 工業工程管理,,,,,,,王志軒教師升等送審著作論文集identifier 國立交通大學升等教師審查資料,,,新竹市 : 國立交通大學,2017,部分內容為英文identifier 現職 : 副教授identifier 申請職別 : 教授identifier 教師升等著作--工業工程與管理學系,,,,"1冊 圖, 表 ; 29公分",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990056038050206772,1,91
92,92,42,國立交通大學工業工程與管理學系劉建良教師升等送審著作論文集,"劉建良, 著 ",,教師升等identifier 工業工程管理,,,,,,,劉建良教師升等送審著作論文集identifier 國立交通大學升等教師審查資料,,,新竹市 : 國立交通大學,2017,部分內容為英文identifier 現職 : 助理教授identifier 申請職別 : 副教授identifier 教師升等著作--工業工程與管理學系,,,,"1冊 圖, 表 ; 29公分",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990056038170206772,1,92
93,93,43,國立交通大學工業工程與管理學系洪暉智教師升等送審著作論文集,"洪暉智, 著 ",,教師升等identifier 工業工程管理,,,,,,,洪暉智教師升等送審著作論文集identifier 國立交通大學升等教師審查資料,,,新竹市 : 國立交通大學,2017,部分內容為英文identifier 現職 : 助理教授identifier 申請職別 : 副教授identifier 教師升等著作--工業工程與管理學系,,,,"1冊 圖, 表 ; 29公分",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990056038130206772,1,93
94,94,44,國立交通大學工業工程與管理學系張永佳教師升等送審著作論文集 ,張永佳 ,,工業工程identifier 教師升等,ISBN : (平裝),,,,,,國立交通大學升等教師審查資料identifier 張永佳教師升等送審著作論文集,,,新竹市 : 國立交通大學,民99,教師升等著作--工業工程與管理學系identifier 現職: 助理教授identifier 申請職別: 副教授identifier 部分內容為英文,,,,1冊 : 圖 ; 30公分,,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990052429050206772,1,94
95,95,45,1999產業管理暨競爭力研討會 : 競爭環境下的永續經營 ,東海大學工業工程研究所4主辦 ,,,ISBN : (平裝),,,,,,,,初版,"台北市 : 東海大學工業工程研究所,財團法人中台灣新世紀文教基金會",民88,,,,,155面.,,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990008645750206772,1,95
96,96,46,國立交通大學工業工程與管理學系林春成教師升等送審著作論文集 ,林春成 ,,工業工程與管理identifier 教師升等,ISBN : (平裝),,,,,,國立交通大學升等教師審查資料identifier 林春成教師升等送審著作論文集,,,新竹市 : 國立交通大學,民101,教師升等著作--工業工程與管理學系identifier 現職:助理教授identifier 申請職別:副教授identifier 內容為英文,,,,1冊 : 圖表; 29公分,,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990054978650206772,1,96
97,97,47,工程導論,姚立根 著 identifier 王學文 著 ,,工程,ISBN : 9787121175060,,,,"本書共10章,內容包括大學工程教育的培養目標、工程概述、信息技術和信息產業、土木工程、水利水電工程、礦業工程、工業工程等.",,,,第1版,北京 : 電子工業出版社,2015,北大方正電子書identifier 借閱需要下載並安裝APABIReader閱讀電子圖書,,,,,,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990056148920206772,1,97
98,98,48,台灣半導體製造廠工業工程師工作領域之現況分析 = Analysis of Job Domain of Industrial Engineers in Taiwan Semiconductor Manufactures ,"王朝隆, 著 ",,,ISBN : (精裝),工業工程與管理研究所(交大)-碩士論文;2000 13:2 ,,,,,,,初版,新竹市 : 交大,民89,,,,,84面.,,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990008733940206772,1,98
99,99,49,防腐蝕工程,王兆華 identifier 張鵬 identifier 林修州 ,,工業工程,ISBN : 9787122231031,,,,本書介紹了防腐蝕工程的相關知識， 全書共分為10章， 具體內容包括耐蝕高分子材料、耐蝕無機材料、非金屬材料腐蝕機理、耐蝕復合材料基礎、涂料覆蓋層、顆粒增強耐蝕復合材料、片狀增強耐蝕復合材料、耐蝕玻璃鋼、耐蝕塑料設備和襯里、耐蝕橡膠和磚板襯里,,,,,北京 : 化學工業出版社,2016,北大方正電子書identifier 借閱需要下載並安裝APABIReader閱讀電子圖書,,,,線上資源(1冊),,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma991003613940706772,1,99
